# Created with:
# jq '.[]|.alert.signature' samples/honeypot-2018/alerts-only.json > samples/honeypot-2018/signature-list.txt

"ET SCAN Potential SSH Scan"
"ET SCAN Potential VNC Scan 5800-5820"
"ET SCAN Potential VNC Scan 5900-5920"
"ET SCAN Sipvicious Scan"
"ET SCAN Suspicious inbound to MSSQL port 1433"
"ET SCAN Suspicious inbound to Oracle SQL port 1521"
"ET SCAN Suspicious inbound to mySQL port 3306"
"ET SCAN Suspicious inbound to PostgreSQL port 5432"
"ET SCAN Sipvicious User-Agent Detected (friendly-scanner)"
"ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management"
"GPL SNMP public access udp"
"ET DROP Dshield Block Listed Source group 1"
"ET DROP Dshield Block Listed Source group 1"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 1"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 3"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 4"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 5"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 18"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 19"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 24"
"ET CINS Active Threat Intelligence Poor Reputation IP UDP group 24"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 32"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 35"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 36"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 44"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 45"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 49"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 56"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 57"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 62"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 67"
"ET CINS Active Threat Intelligence Poor Reputation IP UDP group 67"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 73"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 76"
"ET CINS Active Threat Intelligence Poor Reputation IP UDP group 76"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 77"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 79"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 86"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 87"
"ET CINS Active Threat Intelligence Poor Reputation IP UDP group 89"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 92"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 93"
"ET CINS Active Threat Intelligence Poor Reputation IP TCP group 94"
"ET COMPROMISED Known Compromised or Hostile Host Traffic TCP group 46"
